Rank,Alphagram,Word(s),Removed Anagrams,Length,# Most Frequent in Round,Usefulness Score,Best Single Word,Takes,Valid before 2015?
1,AEGIORT,GOATIER,-,7,6715,47005,GOATIER,,Y
2,AEINORST,NOTARIES/NOTARISE,ARSONITE/NOTAIRES,8,5660,45280,NOTARISE,ds,Y
3,ADEINORT,DERATION/ORDINATE/RATIONED,NADORITE/RODENTIA,8,5630,45040,ORDINATE,s,Y
4,ADEIORST,ASTEROID,-,8,5346,42768,ASTEROID,s,Y
5,AEILNORT,ORIENTAL/RELATION,ROTALINE,8,5032,40256,RELATION,s,Y
6,AENOSTU,SOUTANE,-,7,5323,37261,SOUTANE,s,Y
7,ADEINORS,ANEROIDS/ANODISER,-,8,4594,36752,ANODISER,s,Y
8,AELORTU,TORULAE,-,7,5152,36064,TORULAE,,Y
9,ADEORSU,AROUSED,-,7,4986,34902,AROUSED,,Y
10,ADEGIOT,GODETIA,-,7,4943,34601,GODETIA,s,Y
11,ADEGOST,DOTAGES,DOGATES,7,4707,32949,DOTAGES,,Y
12,ADEINORST,DERATIONS/NOTARISED/ORDINATES,NADORITES,9,1830,32940,ORDINATES,,Y
13,AEIMORST,AMORTISE/ATOMISER,-,8,3934,31472,AMORTISE,ds,Y
14,AEIMNOR,MOANIER/MORAINE/ROMAINE,-,7,4373,30611,MORAINE,s,Y
15,ADIORTU,AUDITOR,TOURADI,7,4354,30478,AUDITOR,sy,Y
16,AENOPTU,AUTOPEN,-,7,4332,30324,AUTOPEN,s,N
17,ADENOSU,DOUANES,ADENOUS,7,4326,30282,DOUANES,,N
18,AEENORST,RESONATE,OESTRANE,8,3745,29960,RESONATE,ds,Y
19,AEINRSTU,URINATES,RUINATES/URANITES,8,3725,29800,URINATES,,Y
20,AEIOPST,ATOPIES/OPIATES,-,7,4091,28637,OPIATES,,Y
21,ADELNOT,TALONED,-,7,4085,28595,TALONED,,Y
22,ADEIMTU,IDEATUM,-,7,4028,28196,IDEATUM,,N
23,ADEINOST,SEDATION,-,8,3457,27656,SEDATION,,Y
24,AINORTU,RAINOUT,-,7,3940,27580,RAINOUT,s,Y
25,AEEGOST,GOATEES,-,7,3850,26950,GOATEES,,Y
26,ADEILORT,IDOLATER/TAILORED,-,8,3365,26920,IDOLATER,s,Y
27,ADEILOR,DARIOLE,RADIOLE,7,3824,26768,DARIOLE,s,Y
28,DEIORTU,OUTRIDE,ETOURDI,7,3806,26642,OUTRIDE,rs,Y
29,AIORSTU,SAUTOIR,-,7,3774,26418,SAUTOIR,s,Y
30,EINORSTU,ROUTINES,NITREOUS,8,3251,26008,ROUTINES,,Y
31,AEMNORU,ENAMOUR/NEUROMA,-,7,3692,25844,NEUROMA,s,Y
32,AEILNORST,ORIENTALS/RELATIONS/TENSORIAL,ROTALINES,9,1432,25776,RELATIONS,,Y
33,EILNORT,RETINOL,-,7,3625,25375,RETINOL,,Y
34,ADEIOPS,ADIPOSE,-,7,3613,25291,ADIPOSE,,Y
35,AEILNORS,AILERONS/ALIENORS/ROSALINE,ALERIONS,8,3149,25192,AILERONS,,Y
36,AEINPTU,PETUNIA,-,7,3567,24969,PETUNIA,s,Y
37,AEIOPRS,SOAPIER,-,7,3550,24850,SOAPIER,,Y
38,ADEIOST,IODATES/TOADIES,DOATIES,7,3538,24766,IODATES,,Y
39,ADEILNOT,DELATION,-,8,3064,24512,DELATION,s,Y
40,AEILNOST,TOENAILS,ALNOITES,8,3063,24504,TOENAILS,,Y
41,AADEIRT,RADIATE,-,7,3449,24143,RADIATE,ds,Y
42,ADENOST,DONATES,ANTODES/ONSTEAD,7,3413,23891,DONATES,,Y
43,AELNORS,LOANERS,RELOANS,7,3365,23555,LOANERS,,Y
44,AEILNOT,ELATION/TOENAIL,ALNOITE,7,3336,23352,TOENAIL,s,Y
45,ADEMOT,MOATED,-,6,3865,23190,MOATED,,Y
46,ADGIOSU,DAIGOUS,-,7,3271,22897,DAIGOUS,,N
47,AEIMNORS,MORAINES/ROMAINES/ROMANISE,-,8,2844,22752,ROMANISE,ds,Y
48,AEGNOOR,OREGANO,-,7,3136,21952,OREGANO,,Y
49,AENOPSTU,AUTOPENS,-,8,2728,21824,AUTOPENS,,N
50,AEINOST,ATONIES,-,7,3115,21805,ATONIES,,Y
51,ADENORU,RONDEAU,-,7,3110,21770,RONDEAU,x,Y
52,ADEGIOST,GODETIAS,-,8,2710,21680,GODETIAS,,Y
53,AEILNOR,AILERON/ALIENOR,ALERION,7,3045,21315,AILERON,s,Y
54,AEMNOPS,MOPANES,-,7,3030,21210,MOPANES,,Y
55,AEGMNOT,MAGNETO/MEGATON/MONTAGE,GEOMANT/METAGON,7,2995,20965,MAGNETO,ns,Y
56,EGIRSTU,GUSTIER/GUTSIER,-,7,2984,20888,GUTSIER,,Y
57,ADEIORS,RADIOES/ROADIES,-,7,2979,20853,ROADIES,,Y
58,ADEILNU,UNIDEAL,ALIUNDE,7,2932,20524,UNIDEAL,,Y
59,ADEILORS,DARIOLES,RADIOLES,8,2563,20504,DARIOLES,,Y
60,EIOPRTU,POUTIER,-,7,2922,20454,POUTIER,,Y
61,ADEGIRU,GAUDIER,-,7,2918,20426,GAUDIER,,Y
62,ADEIMNOR,RADIOMEN,-,8,2553,20424,RADIOMEN,,N
63,AEIOPT,OPIATE,-,6,3388,20328,OPIATE,ds,Y
64,DEIIORT,DIORITE,-,7,2893,20251,DIORITE,,Y
65,DEIOSTU,OUTSIDE/TEDIOUS,-,7,2869,20083,OUTSIDE,rs,Y
66,AEIMNOST,AMNIOTES/MOANIEST,-,8,2486,19888,AMNIOTES,,Y
67,AEINOPRST,ISOPTERAN/PATRONISE,-,9,1099,19782,PATRONISE,,Y
68,EILORSTU,OUTLIERS,-,8,2471,19768,OUTLIERS,,Y
69,AAEGORS,AGAROSE,OARAGES,7,2822,19754,AGAROSE,,Y
70,AEINSTU,AUNTIES/SINUATE,-,7,2805,19635,AUNTIES,,Y
71,AEELNOS,LOANEES,-,7,2771,19397,LOANEES,,Y
72,EEINORST,SEROTINE,-,8,2422,19376,SEROTINE,s,Y
73,AEGILOS,GOALIES,-,7,2765,19355,GOALIES,,Y
74,EILMORT,MOTLIER,-,7,2763,19341,MOTLIER,,Y
75,AINORSTU,RAINOUTS,-,8,2409,19272,RAINOUTS,,Y
76,AEIORST,OSTERIA/ROASTIE,OTARIES,7,2752,19264,OSTERIA,s,N
77,AGIOTU,AGOUTI,-,6,3199,19194,AGOUTI,s,Y
78,AEERSTU,AUSTERE,-,7,2741,19187,AUSTERE,r,Y
79,EILNORTU,OUTLINER,-,8,2360,18880,OUTLINER,s,Y
80,ADEGIST,AGISTED,-,7,2675,18725,AGISTED,,Y
81,ADEIOPT,OPIATED,-,7,2659,18613,OPIATED,,Y
82,ADEIMOST,ATOMISED,MODISTAE,8,2324,18592,ATOMISED,,Y
83,ADEILORST,IDOLATERS/STEROIDAL,-,9,1021,18378,IDOLATERS,,Y
84,AEIMNRTU,RUMINATE,RUMANITE,8,2294,18352,RUMINATE,ds,Y
85,AEGORSTU,OUTRAGES,-,8,2292,18336,OUTRAGES,,Y
86,AEFINRT,FAINTER,-,7,2615,18305,FAINTER,,Y
87,AEIMRSTU,MURIATES,-,8,2281,18248,MURIATES,,Y
88,AEGOPRT,PORTAGE/POTAGER,-,7,2603,18221,PORTAGE,ds,Y
89,EIMORSU,MOUSIER,ROUEISM,7,2594,18158,MOUSIER,,Y
90,ADEIMORT,MEDIATOR,-,8,2263,18104,MEDIATOR,sy,Y
91,ADEINRSU,DENARIUS,UNRAISED,8,2261,18088,DENARIUS,,Y
92,AEIOPRST,PASTORIE/SEPTORIA,-,8,2233,17864,PASTORIE,s,Y
93,ADEGNOT,TANGOED,-,7,2547,17829,TANGOED,,Y
94,ADEIMNOT,DOMINATE,NEMATOID,8,2219,17752,DOMINATE,ds,Y
95,EEIMNOT,TEMENOI,-,7,2535,17745,TEMENOI,,Y
96,ADEINRTU,INDURATE/URINATED,DATURINE/RUINATED,8,2218,17744,INDURATE,ds,Y
97,AEHNORT,ANOTHER,-,7,2528,17696,ANOTHER,y,Y
98,AEGNORTU,OUTRANGE,-,8,2196,17568,OUTRANGE,ds,Y
99,AEGILORS,GASOLIER/GIRASOLE/SERAGLIO,-,8,2193,17544,GIRASOLE,s,Y
100,AEGITU,AUGITE,-,6,2917,17502,AUGITE,,Y
101,AELNOPU,APOLUNE,-,7,2495,17465,APOLUNE,,Y
102,AEIORRST,ROTARIES,-,8,2175,17400,ROTARIES,,Y
103,AEIPRSU,UPRAISE,-,7,2483,17381,UPRAISE,ds,Y
104,AAILORS,SOLARIA,ROSALIA,7,2464,17248,SOLARIA,,Y
105,ADEOSV,VADOSE,-,6,2869,17214,VADOSE,,Y
106,AEENPST,NEPETAS/PENATES,PESANTE,7,2453,17171,NEPETAS,,Y
107,EELNOTU,TOLUENE,-,7,2450,17150,TOLUENE,,Y
108,AEMNORSU,ENAMOURS/NEUROMAS,-,8,2143,17144,NEUROMAS,t,Y
109,AEGOSTU,OUTAGES,-,7,2446,17122,OUTAGES,,Y
110,ADIORSTU,AUDITORS,TOURADIS,8,2118,16944,AUDITORS,,Y
111,AEGOTU,OUTAGE,-,6,2823,16938,OUTAGE,s,Y
112,ADEIRSU,RESIDUA,-,7,2414,16898,RESIDUA,l,Y
113,AENOPW,WEAPON,-,6,2801,16806,WEAPON,s,Y
114,ADILOTU,OUTLAID,TOULADI,7,2390,16730,OUTLAID,,N
115,ADEIOPRS,DIASPORE/PARODIES,PARODISE,8,2090,16720,DIASPORE,s,Y
116,AEILNSTU,INSULATE,ALUNITES,8,2086,16688,INSULATE,ds,Y
117,ADEEINS,ANISEED,-,7,2380,16660,ANISEED,,Y
118,AEINOSV,EVASION,-,7,2366,16562,EVASION,s,Y
119,AEIINRST,RAINIEST,-,8,2070,16560,RAINIEST,,Y
120,EILNOSTU,ELUTIONS/OUTLINES,-,8,2070,16560,OUTLINES,,Y
121,AEINORRT,ANTERIOR,-,8,2061,16488,ANTERIOR,,Y
